rank,name,rating,url,location_coordinate,location_country,location_region,elevation_top_m,elevation_difference_m,total_slope_length_km,number_of_lifts,number_of_slopes,annual_snowfall_cm,number_of_matches
562,Hodlekve – Sogndal,949.5,https://www.sogndalskisenter.no/,"{'lat': '61.2324', 'long': '7.0921'}",Norway,Vestland,950.0,450.0,12.0,3.0,12.0,300.0,1
563,Braunwald,949.2,https://sportbahnen-braunwald.ch/de/erlebnisse/winter/skifahren-snowboarden.html,"{'lat': '46.9364', 'long': '8.9936'}",Switzerland,Glarus,1901.0,665.0,28.0,10.0,3.0,300.0,1
564,Arber,948.8,https://www.arber.de,"{'lat': '49.1163', 'long': '13.1318'}",Germany,Regen,1456.0,406.0,11.5,6.0,11.0,130.0,1
565,San Domenico,948.7,https://www.sandomenicoski.com/,"{'lat': '46.2177', 'long': '8.2470'}",Italy,Piedmont,2500.0,1080.0,32.0,5.0,3.0,400.0,1
566,Bear Valley,948.7,https://www.bearvalley.com/,"{'lat': '38.4681', 'long': '-120.0432'}",USA,California,2590.0,579.0,67.0,8.0,67.0,550.0,1
567,Le Lioran,948.6,https://www.lelioran.com/,"{'lat': '45.1050', 'long': '2.7314'}",France,Cantal,1850.0,690.0,60.0,19.0,36.0,250.0,1
568,Kranzberg,948.6,https://www.skiparadies-kranzberg.de/,"{'lat': '47.4425', 'long': '11.2281'}",Germany,Garmisch-Partenkirchen,1350.0,370.0,15.0,10.0,6.0,200.0,1
569,Kampenwand,948.6,https://www.kampenwand.de/,"{'lat': '47.7663', 'long': '12.3077'}",Germany,Rosenheim,1475.0,849.0,12.0,4.0,3.0,150.0,1
570,Steibis - Imberg,948.6,https://www.huendle-imberg.de/winter/imberg/,"{'lat': '47.5237', 'long': '10.0216'}",Germany,Oberallgäu,1338.0,479.0,17.0,12.0,22.0,130.0,1
571,Les Mosses/La Lécherette,948.5,https://www.alpesvaudoises.ch/fr/pages/tlml-ete,"{'lat': '46.3965', 'long': '7.0872'}",Switzerland,Vaud,1874.0,495.0,40.0,14.0,3.0,300.0,1
572,Himos,948.4,https://himos.fi/,"{'lat': '61.8633', 'long': '25.3175'}",Finland,Länsi-Suomi,235.0,151.0,12.0,17.0,18.0,120.0,1
573,Takasu Snow Park,948.4,https://www.takasu.gr.jp/,"{'lat': '35.9667', 'long': '136.8667'}",Japan,Gifu Prefecture,1550.0,600.0,24.0,5.0,15.0,350.0,1
574,Rauland Skisenter,948.0,http://www.visitrauland.com/Aktoer/Rauland-Skisenter,"{'lat': '59.6822', 'long': '8.1481'}",Norway,Vestfold og Telemark,1140.0,335.0,32.0,10.0,10.0,250.0,1
575,Pine Ridge Resort – Kandatsu,947.9,https://www.kandatsu.com/,"{'lat': '37.0871', 'long': '138.8670'}",Japan,Niigata Prefecture,969.0,498.0,11.6,7.0,11.0,600.0,1
576,Stryn Sommerski,947.8,https://strynsommerski.com/,"{'lat': '61.9359', 'long': '7.2584'}",Norway,Vestland,1300.0,240.0,4.0,1.0,3.0,500.0,1
577,Bödele,947.7,https://www.boedele.info/,"{'lat': '47.4183', 'long': '9.8008'}",Austria,Bregenz,1467.0,767.0,25.0,12.0,22.0,250.0,1
578,Cannon Mountain,947.7,https://www.cannonmt.com/,"{'lat': '44.1868', 'long': '-71.7003'}",USA,New Hampshire,1243.0,644.0,50.0,11.0,43.0,450.0,1
579,Giw – Visperterminen,947.6,https://www.heidadorf.ch/freizeit/wintersport,"{'lat': '46.2586', 'long': '7.8791'}",Switzerland,Valais,2309.0,928.0,20.5,5.0,17.0,400.0,1
580,Fonna Glacier Ski Resort,947.6,https://www.visitfonna.no/,"{'lat': '60.1111', 'long': '6.3333'}",Norway,Vestland,1460.0,260.0,4.0,1.0,3.0,400.0,1
581,Passo Rolle,947.4,https://www.sanmartino.com/,"{'lat': '46.29', 'long': '11.79'}",Italy,Trentino-Alto Adige (Trentino-Südtirol),2216.0,343.0,15.0,6.0,3.0,300.0,1
582,Monte Popolo,947.3,https://montepopolo.at/,"{'lat': '47.4041', 'long': '13.3921'}",Austria,Sankt Johann im Pongau,1601.0,726.0,6.0,4.0,3.0,200.0,1
583,Tännåskröket,947.2,https://www.tannaskroket.se/,"{'lat': '62.5437', 'long': '12.4940'}",Sweden,Jämtland,889.0,327.0,10.0,5.0,10.0,250.0,1
584,Ninohji Snow Park Ninox,947.1,https://www.ninox.co.jp/,"{'lat': '37.9259', 'long': '139.1753'}",Japan,Niigata Prefecture,450.0,200.0,10.0,4.0,8.0,1000.0,1
585,Hakuba Norikura,947.0,https://www.hakunori.com/,"{'lat': '36.6983', 'long': '137.8575'}",Japan,Nagano Prefecture,1293.0,483.0,9.0,9.0,3.0,500.0,1
586,Lofsdalen,947.0,https://www.lofsdalen.com/,"{'lat': '62.1173', 'long': '13.1839'}",Sweden,Jämtland,1125.0,492.0,26.0,9.0,26.0,150.0,1
587,Blacktail Mountain,946.6,https://blacktailmountain.com/,"{'lat': '48.0175', 'long': '-114.2725'}",USA,Montana,2066.0,439.0,17.0,4.0,17.0,1000.0,1
588,Iwappara,946.3,http://iwa-ppara.com,"{'lat': '37.0300', 'long': '138.8811'}",Japan,Niigata Prefecture,985.0,585.0,20.0,9.0,20.0,800.0,1
589,Nara – Leontica,946.1,https://nara.ch/,"{'lat': '46.4439', 'long': '8.9233'}",Switzerland,Ticino,2123.0,1198.0,30.0,7.0,3.0,300.0,1
590,Higashitateyama,946.0,https://www.shigakogen-ski.or.jp/lift/higashitateyama/,"{'lat': '36.7335', 'long': '138.5047'}",Japan,Nagano Prefecture,1970.0,430.0,5.6,1.0,3.0,400.0,1
591,Les Marécottes,945.7,https://www.telemarecottes.ch/,"{'lat': '46.1195', 'long': '7.0033'}",Switzerland,Valais,2220.0,1110.0,9.0,4.0,8.0,300.0,1
592,Fjällby – Björkliden,945.7,https://bjorkliden.com/,"{'lat': '68.4075', 'long': '18.6768'}",Sweden,Norrbotten,920.0,500.0,15.0,5.0,15.0,300.0,1
593,Seki Onsen,945.5,http://www.sekionsen.com/,"{'lat': '36.8977', 'long': '138.1975'}",Japan,Niigata Prefecture,1181.0,264.0,3.0,2.0,5.0,1200.0,1
594,Riksgränsen,945.5,https://riksgransen.se/,"{'lat': '68.4186', 'long': '18.1142'}",Sweden,Norrbotten,909.0,389.0,21.0,6.0,3.0,200.0,1
595,Le Mont-Dore,945.5,http://www.sancy.com/mont-dore/station-ski,"{'lat': '45.5765', 'long': '2.8081'}",France,Puy-de-Dôme,1840.0,640.0,41.0,14.0,40.0,250.0,1
596,Brundage Mountain,945.4,https://brundage.com/,"{'lat': '45.0062', 'long': '-116.1440'}",USA,Idaho,2328.0,548.0,30.0,5.0,30.0,775.0,1
597,Reither Kogel,945.4,https://www.skijuwel.com/,"{'lat': '47.3967', 'long': '11.8711'}",Austria,Kufstein,1280.0,610.0,4.0,5.0,2.0,150.0,1
598,Le Seignus,945.4,https://www.valdallos.com/,"{'lat': '44.2700', 'long': '6.5800'}",France,Provence-Alpes-Côte d’Azur,2426.0,926.0,50.0,8.0,29.0,150.0,1
599,Alts Bandai,945.4,https://www.nekoma.co.jp/,"{'lat': '37.5555', 'long': '139.9398'}",Japan,Fukushima Prefecture,1282.0,549.0,25.0,9.0,25.0,400.0,1
600,Kimberley,945.2,https://skikimberley.com/?utm_source=skiresort&utm_medium=skiresort&utm_campaign=skiresort,"{'lat': '49.6643', 'long': '-115.9696'}",Canada,British Columbia,1982.0,752.0,80.0,5.0,42.0,350.0,1
601,Ikenotaira Onsen,945.2,https://www.alpenblick-resort.com/,"{'lat': '36.8953', 'long': '138.1842'}",Japan,Niigata Prefecture,1487.0,728.0,11.0,6.0,11.0,800.0,1
602,Snow Valley,945.1,https://www.snow-valley.com,"{'lat': '34.225556', 'long': '-117.036389'}",USA,California,2390.0,340.0,34.0,9.0,34.0,400.0,1
603,Oze Iwakura,944.7,http://www.oze-iwakura.co.jp/,"{'lat': '36.8642', 'long': '139.2453'}",Japan,Gunma Prefecture,1695.0,689.0,14.0,11.0,14.0,500.0,1
604,Stryn Skisenter,944.4,https://www.strynvinterski.no/,"{'lat': '61.9075', 'long': '6.7246'}",Norway,Vestland,1000.0,675.0,12.0,4.0,8.0,400.0,1
605,Haukelifjell Skisenter,944.3,https://visithaukeli.no/oppleving/haukelifjell-skisenter/,"{'lat': '59.8247', 'long': '7.4624'}",Norway,Vestfold og Telemark,1216.0,361.0,14.0,6.0,9.0,200.0,1
606,Zao Eboshi,944.2,https://www.eboshi.co.jp/,"{'lat': '38.1514', 'long': '140.4344'}",Japan,Miyagi Prefecture,1350.0,700.0,12.0,8.0,12.0,400.0,1
607,Snowshoe Mountain,944.1,https://www.snowshoemtn.com/,"{'lat': '38.4091', 'long': '-79.9942'}",USA,West Virginia,1478.0,478.0,31.0,12.0,31.0,200.0,1
608,Gore Mountain,944.0,https://goremountain.com/,"{'lat': '43.6730', 'long': '-73.9814'}",USA,New York,1097.0,793.0,58.0,14.0,28.0,380.0,1
609,Molines-en-Queyras/Saint-Véran,944.0,https://www.saintveran.com/,"{'lat': '44.7191', 'long': '6.8671'}",France,Provence-Alpes-Côte d’Azur,2800.0,1050.0,33.0,13.0,3.0,250.0,1
610,Hunter Mountain,943.9,https://www.huntermtn.com/,"{'lat': '42.2106', 'long': '-74.2131'}",USA,New York,975.0,488.0,55.0,12.0,55.0,250.0,1
611,Hochfelln,943.8,https://www.hochfellnseilbahn.de/,"{'lat': '47.8200', 'long': '12.5900'}",Germany,Traunstein,1646.0,1060.0,3.0,6.0,3.0,120.0,1
612,Asahidake,943.7,http://asahidake.hokkaido.jp/,"{'lat': '43.665', 'long': '142.854'}",Japan,Hokkaido,1600.0,500.0,6.7,1.0,2.0,1200.0,1
613,Garibaldi At Squamish,943.7,https://www.garibaldiatsquamish.ca/,"{'lat': '49.7427', 'long': '-123.1553'}",Canada,British Columbia,2200.0,1550.0,0.0,0.0,0.0,500.0,1
614,Nishitateyama,943.6,https://www.shigakogen-ski.or.jp/lift/nishitateyma/,"{'lat': '36.7478', 'long': '138.4527'}",Japan,Nagano,1741.0,405.0,5.8,3.0,3.0,363.0,1
615,Arnoldstein – Dreiländereck,943.5,http://www.3laendereck.at,"{'lat': '46.5475', 'long': '13.7075'}",Austria,Villach-Land,1550.0,870.0,15.0,7.0,3.0,250.0,1
616,Thollon les Mémises,943.4,https://hiver.thollonlesmemises-tourisme.com/,"{'lat': '46.3876', 'long': '6.6855'}",France,Haute-Savoie,2000.0,1000.0,48.0,14.0,36.0,400.0,1
617,Hakkaisanroku,943.4,http://hakkai36.com/,"{'lat': '37.2358', 'long': '138.9863'}",Japan,Niigata Prefecture,420.0,210.0,5.0,2.0,3.0,800.0,1
618,Inawashiro,943.3,https://www.inawashiro-ski.com/,"{'lat': '37.5223', 'long': '140.1273'}",Japan,Fukushima Prefecture,1255.0,580.0,12.0,8.0,12.0,550.0,1
619,Ål Skisenter,943.1,https://www.aalski.no/,"{'lat': '60.6333', 'long': '8.5500'}",Norway,Viken,1040.0,472.0,15.0,5.0,8.0,300.0,1
620,Baranci,942.8,https://www.dreizinnen.com/de/das-erlebnis/im-winter/skifahren/skigebiete/skigebiet-haunold.html,"{'lat': '46.7347', 'long': '12.2858'}",Italy,"Trentino-Alto Adige (Trentino-Südtirol), South Tyrol (Südtirol)",1610.0,435.0,13.0,5.0,3.0,300.0,1
621,Fanningberg,942.5,https://www.fanningberg.info/,"{'lat': '47.1567', 'long': '13.7089'}",Austria,Tamsweg,2115.0,618.0,24.0,5.0,3.0,250.0,1
622,Oslo – Tryvann,942.4,https://skimore.no/oslo,"{'lat': '59.9871', 'long': '10.6663'}",Norway,Oslo,531.0,381.0,9.3,10.0,36.0,150.0,1
623,Lookout Pass,942.4,https://skilookout.com/,"{'lat': '47.4579', 'long': '-115.6958'}",USA,Idaho,1875.0,503.0,41.0,5.0,41.0,1000.0,1
624,Campo Felice,942.1,https://www.campofelice.it/,"{'lat': '42.185', 'long': '13.459'}",Italy,Abruzzo,1916.0,505.0,30.9,15.0,23.0,200.0,1
625,Mission Ridge,942.0,https://www.missionridge.com/,"{'lat': '47.2925', 'long': '-120.3992'}",USA,Washington,2078.0,686.0,36.0,4.0,3.0,500.0,1
626,Marunuma Kogen,941.9,https://www.marunuma.jp/winter/,"{'lat': '36.6472', 'long': '139.2807'}",Japan,Gunma Prefecture,2000.0,612.0,9.8,13.0,13.0,500.0,1
627,Tateyama Sanroku,941.8,https://www.tateyama36.co.jp/,"{'lat': '36.675', 'long': '137.334'}",Japan,Toyama Prefecture,1158.0,667.0,9.9,7.0,9.0,600.0,1
628,Kita-Taisetsu,941.7,http://tengucat.jp/,"{'lat': '44.093', 'long': '142.764'}",Japan,Hokkaido,1271.0,585.0,5.0,1.0,3.0,700.0,1
629,Sogn Skisenter,941.4,https://www.sognskisenter.no/,"{'lat': '61.2272', 'long': '7.1232'}",Norway,Vestland,989.0,667.0,17.5,4.0,5.0,350.0,1
630,St. Jean Montclar,941.3,https://www.montclar.com/,"{'lat': '44.4068', 'long': '6.3340'}",France,Provence-Alpes-Côte d’Azur,2500.0,1150.0,50.0,14.0,35.0,200.0,1
631,Kittelfjäll,941.3,https://www.kittelfjall.com/,"{'lat': '65.1946', 'long': '15.4167'}",Sweden,Västerbotten,950.0,405.0,18.0,4.0,18.0,300.0,1
632,Alpe du Grand-Serre,941.1,https://www.matheysine-tourisme.com/fr/alpedugrandserre/,"{'lat': '44.9386', 'long': '5.8397'}",France,Isère,2184.0,817.0,55.0,15.0,3.0,400.0,1
633,San Bernardino,940.9,https://sanbernardino-sportarena.com/,"{'lat': '46.4614', 'long': '9.1920'}",Switzerland,Graubünden,2525.0,917.0,40.0,11.0,3.0,300.0,1
634,Grebenzen,940.8,https://grebenzen.at/,"{'lat': '47.0789', 'long': '14.3067'}",Austria,Murau,1870.0,860.0,12.0,9.0,9.0,150.0,1
635,Serles,940.8,https://www.stubai.at/skigebiete/serlesbahnen/,"{'lat': '47.155', 'long': '11.409'}",Austria,Innsbruck-Land,1674.0,714.0,5.7,5.0,3.0,300.0,1
636,Terakoya Resort,940.7,https://www.shigakogen-ski.or.jp/lift/terakoya/,"{'lat': '36.7348', 'long': '138.4986'}",Japan,Nagano Prefecture,2060.0,156.0,3.0,2.0,2.0,500.0,1
637,Cypress Mountain,940.4,https://cypressmountain.com/,"{'lat': '49.3969', 'long': '-123.2033'}",Canada,British Columbia,1440.0,616.0,51.0,7.0,7.0,300.0,1
638,Mizuho Highland,940.4,https://www.mizuhohighland.com/,"{'lat': '34.7894', 'long': '132.4707'}",Japan,Shimane Prefecture,1212.0,721.0,15.0,7.0,15.0,300.0,1
639,Piani di Bobbio,940.3,https://www.pianidibobbio.com/,"{'lat': '45.9374', 'long': '9.4879'}",Italy,Lombardy,1950.0,610.0,35.0,12.0,27.0,250.0,1
640,Snow Summit,940.3,https://www.bigbearmountainresort.com/our-mountains/snow-summit-winter,"{'lat': '34.2281', 'long': '-116.8606'}",USA,California,2500.0,370.0,29.0,11.0,29.0,150.0,1
641,Nesselwang – Alpspitze,940.3,https://www.alpspitzbahn.de/winter.html,"{'lat': '47.6167', 'long': '10.4986'}",Germany,Ostallgäu,1463.0,563.0,8.0,6.0,8.0,120.0,1
642,Laterns,940.1,https://www.laterns.net/,"{'lat': '47.2812', 'long': '9.7135'}",Austria,Feldkirch,1785.0,745.0,27.0,5.0,5.0,300.0,1
643,McBride,939.8,https://www.cmhheli.com/,"{'lat': '53.2921', 'long': '-120.1659'}",Canada,British Columbia,3000.0,1900.0,0.0,1.0,0.0,500.0,1
644,Hakodate Nanae,939.5,http://hakodate-nanae.jp,"{'lat': '41.8594', 'long': '140.6527'}",Japan,Hokkaido,950.0,689.0,11.8,3.0,11.0,500.0,1
645,Saariselkä,939.3,https://www.skisaariselka.com/,"{'lat': '68.4212', 'long': '27.4227'}",Finland,Lapin lääni,437.0,180.0,18.0,6.0,18.0,150.0,1
646,Harpefossen,939.3,https://www.harpefossen.no/,"{'lat': '61.9114', 'long': '5.9957'}",Norway,Vestland,815.0,570.0,16.0,6.0,10.0,300.0,1
647,Hachikogen,939.3,https://www.hachi-hachikita.co.jp/,"{'lat': '35.389397', 'long': '134.564598'}",Japan,Hyōgo Prefecture,1221.0,641.0,35.0,23.0,35.0,400.0,1
648,Wildcat Mountain,939.3,https://www.skiwildcat.com/,"{'lat': '44.2594', 'long': '-71.2393'}",USA,New Hampshire,1238.0,644.0,25.0,5.0,25.0,300.0,1
649,Lavarone,939.2,http://www.alpecimbra.it/,"{'lat': '45.9350', 'long': '11.2870'}",Italy,Trentino-Alto Adige,1600.0,426.0,30.0,14.0,13.0,150.0,1
650,Windham Mountain,939.2,https://windhammountainclub.com/,"{'lat': '42.3073', 'long': '-74.2569'}",USA,New York,945.0,487.0,46.0,8.0,46.0,250.0,1
651,Saddleback,939.1,https://www.saddlebackmaine.com/,"{'lat': '44.9794', 'long': '-70.5269'}",USA,Maine,1220.0,574.0,22.0,5.0,22.0,400.0,1
652,Nakiska,939.1,https://skinakiska.com/,"{'lat': '50.9147', 'long': '-115.1492'}",Canada,Alberta,2260.0,735.0,25.0,6.0,39.0,300.0,1
653,Wallberg,938.6,https://www.wallbergbahn.de/winter/,"{'lat': '47.6847', 'long': '11.7983'}",Germany,Miesbach,1620.0,830.0,3.0,1.0,1.0,150.0,1
654,Vrådal,938.5,https://alpin.no/,"{'lat': '59.4372', 'long': '8.4919'}",Norway,Vestfold og Telemark,735.0,473.0,16.0,8.0,16.0,200.0,1
655,Trysil,938.4,https://www.skistar.com/no/vare-skisteder/trysil/,"{'lat': '61.3150', 'long': '12.2647'}",Norway,Innlandet,1100.0,705.0,78.0,31.0,63.0,300.0,113
656,Aizu Kogen Takatsue,938.4,http://www.takatsue.jp,"{'lat': '37.055466', 'long': '139.838993'}",Japan,Fukushima,1650.0,707.0,20.0,9.0,20.0,450.0,1
657,Stöten,938.2,https://www.stoten.se/,"{'lat': '61.2504', 'long': '12.9950'}",Sweden,Dalarna,830.0,392.0,32.0,24.0,26.0,250.0,37
658,Darlux – Bergün,938.1,https://berguen-filisur.graubuenden.ch/de/aktivitaeten-erlebnisse/skifahren,"{'lat': '46.6265', 'long': '9.7457'}",Switzerland,Graubünden,2569.0,1185.0,20.0,3.0,3.0,175.0,1
659,Hanagasa Kogen,937.9,http://www.hanagasakogen.jp,"{'lat': '38.3533', 'long': '140.1913'}",Japan,Yamagata Prefecture,1100.0,550.0,8.0,4.0,6.0,300.0,1
660,Attitash,937.8,https://www.attitash.com/,"{'lat': '44.0787', 'long': '-71.2292'}",USA,New Hampshire,716.0,533.0,37.0,8.0,67.0,300.0,1
661,Apex Mountain Resort,937.6,https://www.apexresort.com/,"{'lat': '49.3941', 'long': '-119.9103'}",Canada,British Columbia,2180.0,605.0,67.0,3.0,67.0,500.0,1
662,Mythenregion,937.5,http://www.mythenregion.ch,"{'lat': '47.0333', 'long': '8.7167'}",Switzerland,Schwyz,1593.0,523.0,50.0,17.0,3.0,200.0,1
663,Yubari Resort,937.4,https://yubari-resort.co.jp/,"{'lat': '43.0657', 'long': '141.9615'}",Japan,Hokkaido,702.0,404.0,15.0,5.0,15.0,900.0,1
664,Hirmentaz/Les Habères,937.3,https://hirmentaz-bellevaux.com/,"{'lat': '46.2595', 'long': '6.4543'}",France,Haute-Savoie,1576.0,656.0,50.0,23.0,54.0,300.0,1
665,Ramundberget,937.2,https://www.ramundberget.se/,"{'lat': '62.6951', 'long': '12.3354'}",Sweden,Jämtland,1000.0,300.0,25.0,9.0,25.0,300.0,9
666,Fujimi Panorama,937.2,http://www.fujimipanorama.com,"{'lat': '35.9450', 'long': '138.2700'}",Japan,Nagano Prefecture,1780.0,730.0,4.5,7.0,3.0,300.0,1
667,Mad River Glen,936.6,https://www.madriverglen.com/,"{'lat': '44.2042', 'long': '-72.9178'}",USA,Vermont,1108.0,621.0,46.0,4.0,46.0,550.0,1
668,49 Degrees North,936.6,https://www.ski49n.com/,"{'lat': '48.3014', 'long': '-117.5635'}",USA,Washington,1760.0,564.0,68.0,7.0,35.0,450.0,1
669,Panorama Area,936.5,https://www.hachimantai.co.jp/,"{'lat': '39.9422', 'long': '140.9778'}",Japan,Iwate Prefecture,1000.0,460.0,11.0,4.0,11.0,500.0,1
670,Cambre d'Aze,936.5,https://www.trio-pyrenees.com/cambre-aze/,"{'lat': '42.4848', 'long': '2.0966'}",France,Pyrénées-Orientales,2400.0,760.0,22.0,14.0,20.0,300.0,1
671,Pelvoux/Vallouise,936.3,https://www.ski-pelvoux.com/,"{'lat': '44.8512', 'long': '6.4850'}",France,Hautes-Alpes,2300.0,1050.0,25.0,7.0,3.0,450.0,1
672,Nukabira Gensenkyo,936.2,https://www.kamishihoro.jp/sp/nukaski,"{'lat': '43.2941', 'long': '143.1076'}",Japan,Hokkaido,1230.0,660.0,10.0,2.0,3.0,850.0,1
673,Stavtjørn,936.2,https://stavtjornalpin.no/,"{'lat': '58.6199', 'long': '6.4837'}",Norway,Rogaland,800.0,307.0,6.0,4.0,3.0,300.0,1
674,Asarigawa Onsen,936.1,https://asari-ski.com/,"{'lat': '43.1813', 'long': '141.0136'}",Japan,Hokkaido,680.0,540.0,15.0,4.0,3.0,650.0,1
675,Heiti,936.1,https://www.gstaad.ch/winter/ski-snowboard.html,"{'lat': '46.3783', 'long': '7.2286'}",Switzerland,Bern,1370.0,143.0,1.3,1.0,2.0,300.0,1
676,Montecampione,936.0,https://montecampioneskiarea.it/,"{'lat': '45.8426', 'long': '10.1676'}",Italy,Lombardy,1841.0,692.0,30.0,10.0,25.0,300.0,1
677,Pico Mountain,935.8,https://www.picomountain.com/,"{'lat': '43.6450', 'long': '-72.8423'}",USA,Vermont,1209.0,599.0,30.0,7.0,3.0,300.0,1
678,Hallingskarvet,935.6,https://www.hallingskarvet-skisenter.no/,"{'lat': '60.6180', 'long': '7.8725'}",Norway,Viken,1244.0,509.0,14.0,3.0,3.0,250.0,1
679,Hochwang,935.6,https://www.hochwang.ch/,"{'lat': '46.8339', 'long': '9.6438'}",Switzerland,Graubünden,2299.0,755.0,20.0,3.0,3.0,250.0,1
680,Ceillac en Queyras,935.6,https://ceillac.fr/,"{'lat': '44.6703', 'long': '6.7756'}",France,Provence-Alpes-Côte d’Azur,2500.0,850.0,25.0,6.0,3.0,400.0,1
681,Pischa,935.5,https://www.davosklostersmountains.ch/de/mountains/berge/pischa,"{'lat': '46.8325', 'long': '9.8506'}",Switzerland,Graubünden,2483.0,683.0,30.0,1.0,0.0,400.0,1
682,Elfer,935.4,https://www.stubai.at/skigebiete/elferbahnen/,"{'lat': '47.1136', 'long': '11.3039'}",Austria,Innsbruck-Land,2080.0,1099.0,2.0,3.0,1.0,150.0,1
683,Charmant Hiuchi,935.4,https://charmant-hiuchi.jp/,"{'lat': '37.0335', 'long': '137.8355'}",Japan,Niigata Prefecture,1009.0,508.0,8.0,3.0,3.0,800.0,1
684,Mt. Kosha,935.1,https://x-jam.jp/,"{'lat': '36.7945', 'long': '138.4081'}",Japan,Nagano Prefecture,1215.0,515.0,14.0,8.0,19.0,400.0,1
685,Brambrüesch/Dreibündenstein,935.1,https://www.chur.graubuenden.ch/de/aktivitaeten/winter/chur-bergbahnen-wintersportgebiet-brambrueesch,"{'lat': '46.852', 'long': '9.530'}",Switzerland,Graubünden,2174.0,1004.0,20.0,5.0,3.0,250.0,1
686,Biwako Valley,935.0,https://www.biwako-valley.com/,"{'lat': '35.1945', 'long': '135.9442'}",Japan,Shiga Prefecture,1174.0,224.0,10.0,8.0,10.0,300.0,1
687,Vuokatti,934.8,https://www.vuokatti.fi,"{'lat': '64.1395', 'long': '28.2783'}",Finland,Kainuu,312.0,160.0,10.0,7.0,3.0,120.0,1
688,Ski Apache,934.5,https://www.skiapache.com/,"{'lat': '33.3972', 'long': '-105.8050'}",USA,New Mexico,3475.0,549.0,55.0,11.0,3.0,300.0,1
689,Greenpia Onuma,934.5,https://www.gp-onuma.com/,"{'lat': '42.0186', 'long': '140.7047'}",Japan,Hokkaido Prefecture,442.0,260.0,5.0,2.0,3.0,800.0,1
690,Gemeindealpe,934.5,https://www.gemeindealpe.at/,"{'lat': '47.8298', 'long': '15.2927'}",Austria,Bezirk Lilienfeld,1626.0,826.0,15.0,4.0,3.0,150.0,1
691,Crévacol,934.5,https://www.crevacol.it/,"{'lat': '45.8674', 'long': '7.1581'}",Italy,Aosta Valley,2450.0,810.0,21.0,3.0,3.0,500.0,1
692,Foppolo/Carona,934.3,https://www.foppolo.ski/,"{'lat': '46.0266', 'long': '9.7603'}",Italy,Lombardy,2163.0,1003.0,22.0,9.0,12.0,500.0,1
693,Bydalsfjällen,934.2,https://www.bydalsfjallen.se/,"{'lat': '63.1000', 'long': '13.8333'}",Sweden,Jämtland,1010.0,420.0,25.0,17.0,25.0,250.0,1
694,Zauberberg Semmering,934.1,https://semmering.com/,"{'lat': '47.6426', 'long': '15.8227'}",Austria,Bezirk Neunkirchen,1350.0,365.0,14.0,2.0,3.0,150.0,1
695,Säntis – Schwägalp,934.1,https://saentisbahn.ch/,"{'lat': '47.2498', 'long': '9.3435'}",Switzerland,Appenzell Ausserrhoden,2473.0,1122.0,10.0,1.0,1.0,300.0,1
696,Sun Valley Resort,933.9,https://www.shigakogen-ski.com/,"{'lat': '36.7366', 'long': '138.4321'}",Japan,Nagano Prefecture,1560.0,169.0,1.8,1.0,3.0,400.0,1
697,White Pass,933.9,https://skiwhitepass.com/,"{'lat': '46.6371', 'long': '-121.3912'}",USA,Washington State,1986.0,615.0,30.0,6.0,30.0,500.0,1
698,Faschina,933.8,https://www.seilbahnen-faschina.at,"{'lat': '47.2576', 'long': '9.9286'}",Austria,Bludenz,1980.0,530.0,6.0,7.0,3.0,250.0,1
699,Altopiano di Brentonico,933.7,https://www.brentonicoski.com/,"{'lat': '45.8003', 'long': '10.9679'}",Italy,Trentino-Alto Adige,1583.0,388.0,22.0,7.0,3.0,450.0,1
700,Romme Alpin,933.6,https://www.rommealpin.se/,"{'lat': '60.4339', 'long': '15.5376'}",Sweden,Dalarna,407.0,275.0,30.0,16.0,32.0,150.0,29
701,Bretton Woods,933.6,https://www.brettonwoods.com/,"{'lat': '44.2583', 'long': '-71.4446'}",USA,New Hampshire,945.0,457.0,56.0,8.0,1.0,250.0,1
702,La Dôle/Les Tuffes,933.5,https://www.jurasurleman.com/,"{'lat': '46.4478', 'long': '6.0423'}",France,Bourgogne-Franche-Comté,1678.0,518.0,28.0,21.0,32.0,300.0,1
703,Eagle Point,933.5,https://www.eaglepointresort.com/,"{'lat': '38.3200', 'long': '-112.3833'}",USA,Utah,3230.0,457.0,20.0,5.0,20.0,700.0,1
704,Crêt-Béni/La Combe,933.5,https://hiver.lachapelledabondance-tourisme.com/ski-alpin/chapelle-abondance/,"{'lat': '46.3061', 'long': '6.7916'}",France,Haute-Savoie,1630.0,610.0,10.0,7.0,10.0,450.0,1
705,Monte Magnola,933.5,https://ovindolimagnola.it/,"{'lat': '42.1349', 'long': '13.5563'}",Italy,Abruzzo,2056.0,551.0,20.0,8.0,20.0,150.0,1
706,Galdhøpiggen Sommerskisenter,933.4,https://www.gpss.no/,"{'lat': '61.6625', 'long': '8.3986'}",Norway,Innlandet,2200.0,350.0,2.0,1.0,1.0,500.0,1
707,Blåsjön – Mesklumpen,933.3,https://www.blasjon.se/,"{'lat': '64.8530', 'long': '14.2997'}",Sweden,Jämtland,924.0,460.0,7.0,4.0,7.0,250.0,1
708,Hochkar,933.1,https://www.hochkar.com/,"{'lat': '47.6671', 'long': '14.9439'}",Austria,Scheibbs,1808.0,428.0,19.0,8.0,3.0,150.0,1
